trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-179.0323260886195,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.9801}",25,0,-68.44297506423752,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.970299}",25,0,-203.02774647725101,"{0: 11, 1: 4, 2: 6, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",25,4,-45.161665941613975,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,1,-94.52797333580106,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.941480149401}",25,0,-74.522602750425,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",30,18,-16.221833269305574,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",20,0,-109.47916110831002,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",30,0,-176.32569629896682,"{0: 17, 1: 1, 2: 9, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",20,0,-151.15385829551934,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",25,0,-214.58591619760634,"{0: 13, 1: 0, 2: 7, 3: 2, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",25,0,-48.371630605635445,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",25,0,-78.80897034600632,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",20,0,-169.75764908463762,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",20,0,-6.062278502865275,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948755}",20,0,-60.542932582265934,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839268}",25,0,-172.45326171928065,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500875}",25,0,-19.264174090521294,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355866}",20,0,-85.40717930228956,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972308}",25,0,-93.99531956530308,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.8097278682212584}",20,0,-55.37914107232173,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.8016305895390459}",30,5,-76.92430177054706,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.7936142836436554}",25,12,-14.786247487956672,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",25,0,-63.659514787544886,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
