trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,-95,-744.8583963509219,"{0: 71, 1: 13, 2: 26, 3: 4, 4: 11}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,-100,-607.9771870203156,"{0: 68, 1: 18, 2: 23, 3: 3, 4: 8}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,-26,-182.54328635828426,"{0: 31, 1: 2, 2: 8, 3: 3, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",35,22,-24.175661747353878,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,-100,-640.5549998680266,"{0: 66, 1: 11, 2: 31, 3: 5, 4: 7}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,-100,-714.0999120947928,"{0: 78, 1: 10, 2: 25, 3: 8, 4: 9}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,-100,-559.885080534136,"{0: 78, 1: 6, 2: 31, 3: 4, 4: 6}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,-100,-912.5956603482826,"{0: 66, 1: 13, 2: 27, 3: 4, 4: 15}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,-25,-160.3180302309907,"{0: 30, 1: 4, 2: 7, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,-100,-335.12756208080066,"{0: 78, 1: 16, 2: 21, 3: 2, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,-63,-613.937962244991,"{0: 44, 1: 9, 2: 17, 3: 3, 4: 10}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,-100,-427.3667094709898,"{0: 73, 1: 14, 2: 27, 3: 2, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,5,-130.05318154610475,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",1
14,False,"{'a': 0.5, 'e': 1.0}",25,-100,-805.7974524197457,"{0: 69, 1: 7, 2: 31, 3: 8, 4: 10}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,-14,-237.51636218040977,"{0: 22, 1: 3, 2: 16, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,-27,-234.39588740574817,"{0: 31, 1: 6, 2: 11, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",35,-100,-615.3695291801577,"{0: 83, 1: 15, 2: 25, 3: 4, 4: 8}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,-100,-827.2150155757987,"{0: 71, 1: 11, 2: 24, 3: 6, 4: 13}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,-100,-713.6970707342246,"{0: 74, 1: 14, 2: 29, 3: 3, 4: 10}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,-100,-398.22418330362154,"{0: 88, 1: 6, 2: 14, 3: 6, 4: 6}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,-100,-602.7155256159872,"{0: 77, 1: 10, 2: 18, 3: 6, 4: 9}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,-100,-435.4608559049508,"{0: 74, 1: 13, 2: 25, 3: 4, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,-12,-122.13917744295767,"{0: 22, 1: 1, 2: 5, 3: 3, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,-66,-426.504420789319,"{0: 54, 1: 6, 2: 16, 3: 4, 4: 6}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,-86,-724.0087473290837,"{0: 69, 1: 12, 2: 19, 3: 3, 4: 13}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,-64,-372.5058815253474,"{0: 61, 1: 3, 2: 16, 3: 4, 4: 5}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,-88,-620.9586763282168,"{0: 68, 1: 4, 2: 22, 3: 4, 4: 10}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,-13,-120.29645658398243,"{0: 26, 1: 0, 2: 10, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,-100,-498.95697691177213,"{0: 84, 1: 14, 2: 22, 3: 3, 4: 7}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,-78,-433.73266660555146,"{0: 62, 1: 11, 2: 22, 3: 4, 4: 4}",0
